    rows    dim dtype kern  acc      tpr  rpb     grid  block        ms      GB/s    %peak
   32768    256 bf16  smem  native    32    4    32768    128    0.0411     816.9   182.3%
   32768    256 bf16  smem  native    32   16    32768    512    0.1629     206.0    46.0%
   32768    256 bf16  smem  native    32    1    32768     32    0.0368     910.9   203.3%
   32768    256 bf16  smem  native    32    4    32768    128    0.0411     816.1   182.1%
   32768    256 bf16  smem  native    32   16    32768    512    0.1578     212.7    47.5%
  131072    256 f16   smem  native    32    1   131072     32    0.3485     385.1    85.9%
  131072    256 f16   smem  native    32    4   131072    128    0.3468     387.0    86.4%
  131072    256 f16   smem  native    32   16   131072    512    0.9442     142.2    31.7%
  131072    256 f16   smem  native    32    1   131072     32    0.3476     386.2    86.2%
  131072    256 f16   smem  native    32    4   131072    128    0.3508     382.6    85.4%
  131072    256 f16   smem  native    32   16   131072    512    0.9440     142.2    31.7%
  131072    256 f16   smem  native    32    1   131072     32    0.3488     384.8    85.9%
  131072    256 f16   smem  native    32    4   131072    128    0.3577     375.2    83.7%
  131072    256 f16   smem  native    32   16   131072    512    0.9461     141.9    31.7%
  131072    256 bf16  smem  native    32    1   131072     32    0.3483     385.4    86.0%
  131072    256 bf16  smem  native    32    4   131072    128    0.3545     378.6    84.5%
  131072    256 bf16  smem  native    32   16   131072    512    0.9442     142.2    31.7%
  131072    256 bf16  smem  native    32    1   131072     32    0.3489     384.7    85.9%
  131072    256 bf16  smem  native    32    4   131072    128    0.3561     376.9    84.1%
  131072    256 bf16  smem  native    32   16   131072    512    0.9438     142.2    31.7%
  131072    256 bf16  smem  native    32    1   131072     32    0.3477     386.0    86.2%
  131072    256 bf16  smem  native    32    4   131072    128    0.3516     381.7    85.2%
  131072    256 bf16  smem  native    32   16   131072    512    0.9435     142.3    31.8%
    2048    512 f16   smem  native    32    1     2048     32    0.0070     597.4   133.3%
    2048    512 f16   smem  native    32    4     2048    128    0.0068     621.1   138.6%
    2048    512 f16   smem  native    32   16     2048    512    0.0166     253.3    56.5%
    2048    512 f16   smem  native    32    1     2048     32    0.0075     561.8   125.4%
    2048    512 f16   smem  native    32    4     2048    128    0.0077     542.1   121.0%
    2048    512 f16   smem  native    32   16     2048    512    0.0165     253.9    56.7%
    2048    512 f16   smem  native    32    1     2048     32    0.0068     612.9   136.8%
    2048    512 f16   smem  native    32    4     2048    128    0.0074     569.1   127.0%
    2048    512 f16   smem  native    32   16     2048    512    0.0172     243.4    54.3%
    2048    512 bf16  smem  native    32    1     2048     32    0.0075     559.8   124.9%
    2048    512 bf16  smem  native    32    4     2048    128    0.0081     519.8   116.0%
    2048    512 bf16  smem  native    32   16     2048    512    0.0166     253.3    56.5%
    2048    512 bf16  smem  native    32    1     2048     32    0.0081     520.0   116.1%
    2048    512 bf16  smem  native    32    4     2048    128    0.0078     534.9   119.4%
    2048    512 bf16  smem  native    32   16     2048    512    0.0172     244.5    54.6%
    2048    512 bf16  smem  native    32    1     2048     32    0.0081     514.9   114.9%
    2048    512 bf16  smem  native    32    4     2048    128    0.0069     611.7   136.5%
    2048    512 bf16  smem  native    32   16     2048    512    0.0165     254.5    56.8%
    8192    512 f16   smem  native    32    1     8192     32    0.0165    1016.9   227.0%
    8192    512 f16   smem  native    32    4     8192    128    0.0186     902.7   201.5%
    8192    512 f16   smem  native    32   16     8192    512    0.0575     291.8    65.1%
    8192    512 f16   smem  native    32    1     8192     32    0.0165    1014.5   226.4%
    8192    512 f16   smem  native    32    4     8192    128    0.0186     901.6   201.2%
    8192    512 f16   smem  native    32   16     8192    512    0.0613     273.9    61.1%
    8192    512 f16   smem  native    32    1     8192     32    0.0165    1018.5   227.3%
    8192    512 f16   smem  native    32    4     8192    128    0.0186     903.5   201.7%
    8192    512 f16   smem  native    32   16     8192    512    0.0575     291.8    65.1%
    8192    512 bf16  smem  native    32    1     8192     32    0.0165    1019.4   227.5%
    8192    512 bf16  smem  native    32    4     8192    128    0.0186     903.7   201.7%
    8192    512 bf16  smem  native    32   16     8192    512    0.0578     290.4    64.8%
    8192    512 bf16  smem  native    32    1     8192     32    0.0165    1018.9   227.4%
    8192    512 bf16  smem  native    32    4     8192    128    0.0186     902.9   201.5%
    8192    512 bf16  smem  native    32   16     8192    512    0.0575     292.0    65.2%
    8192    512 bf16  smem  native    32    1     8192     32    0.0165    1017.4   227.1%
    8192    512 bf16  smem  native    32    4     8192    128    0.0186     902.7   201.5%
    8192    512 bf16  smem  native    32   16     8192    512    0.0574     292.0    65.2%
   32768    512 f16   smem  native    32    1    32768     32    0.1767     379.7    84.7%
   32768    512 f16   smem  native    32    4    32768    128    0.1721     390.0    87.0%
   32768    512 f16   smem  native    32   16    32768    512    0.3240     207.1    46.2%
   32768    512 f16   smem  native    32    1    32768     32    0.1733     387.1    86.4%
   32768    512 f16   smem  native    32    4    32768    128    0.1765     380.3    84.9%
   32768    512 f16   smem  native    32   16    32768    512    0.3244     206.9    46.2%
   32768    512 f16   smem  native    32    1    32768     32    0.1779     377.2    84.2%
   32768    512 f16   smem  native    32    4    32768    128    0.1718     390.6    87.2%
   32768    512 f16   smem  native    32   16    32768    512    0.3241     207.1    46.2%
   32768    512 bf16  smem  native    32    1    32768     32    0.1735     386.8    86.3%
   32768    512 bf16  smem  native    32    4    32768    128    0.1757     382.0    85.3%
   32768    512 bf16  smem  native    32   16    32768    512    0.3241     207.1    46.2%
   32768    512 bf16  smem  native    32    1    32768     32    0.1768     379.5    84.7%
   32768    512 bf16  smem  native    32    4    32768    128    0.1721     390.0    87.0%
   32768    512 bf16  smem  native    32   16    32768    512    0.3237     207.3    46.3%
   32768    512 bf16  smem  native    32    1    32768     32    0.1736     386.5    86.3%
   32768    512 bf16  smem  native    32    4    32768    128    0.1719     390.5    87.2%
   32768    512 bf16  smem  native    32   16    32768    512    0.3238     207.2    46.3%
  131072    512 f16   smem  native    32    1   131072     32    0.7102     378.0    84.4%
  131072    512 f16   smem  native    32    4   131072    128    0.6966     385.4    86.0%
  131072    512 f16   smem  native    32   16   131072    512    1.2888     208.3    46.5%
  131072    512 f16   smem  native    32    1   131072     32    0.7101     378.0    84.4%
  131072    512 f16   smem  native    32    4   131072    128    0.7033     381.7    85.2%
  131072    512 f16   smem  native    32   16   131072    512    1.2969     207.0    46.2%
  131072    512 f16   smem  native    32    1   131072     32    0.7129     376.6    84.0%
  131072    512 f16   smem  native    32    4   131072    128    0.7007     383.1    85.5%
  131072    512 f16   smem  native    32   16   131072    512    1.2889     208.3    46.5%
  131072    512 bf16  smem  native    32    1   131072     32    0.7101     378.0    84.4%
  131072    512 bf16  smem  native    32    4   131072    128    0.7014     382.7    85.4%
  131072    512 bf16  smem  native    32   16   131072    512    1.2873     208.5    46.5%
  131072    512 bf16  smem  native    32    1   131072     32    0.7103     377.9    84.4%
  131072    512 bf16  smem  native    32    4   131072    128    0.7077     379.3    84.7%
  131072    512 bf16  smem  native    32   16   131072    512    1.2897     208.1    46.5%
  131072    512 bf16  smem  native    32    1   131072     32    0.7087     378.8    84.5%
  131072    512 bf16  smem  native    32    4   131072    128    0.6967     385.3    86.0%
  131072    512 bf16  smem  native    32   16   131072    512    1.2870     208.6    46.6%
    2048   1024 f16   smem  native    32    1     2048     32    0.0108     774.7   172.9%
    2048   1024 f16   smem  native    32    4     2048    128    0.0104     808.6   180.5%
    2048   1024 f16   smem  native    32   16     2048    512    0.0185     453.8   101.3%
    2048   1024 f16   smem  native    32    1     2048     32    0.0108     777.2   173.5%
    2048   1024 f16   smem  native    32    4     2048    128    0.0106     790.6   176.5%
    2048   1024 f16   smem  native    32   16     2048    512    0.0185     453.8   101.3%
    2048   1024 f16   smem  native    32    1     2048     32    0.0109     767.8   171.4%
    2048   1024 f16   smem  native    32    4     2048    128    0.0104     806.6   180.0%
    2048   1024 f16   smem  native    32   16     2048    512    0.0185     453.8   101.3%
    2048   1024 bf16  smem  native    32    1     2048     32    0.0109     768.0   171.4%
    2048   1024 bf16  smem  native    32    4     2048    128    0.0133     631.8   141.0%
    2048   1024 bf16  smem  native    32   16     2048    512    0.0185     453.5   101.2%
    2048   1024 bf16  smem  native    32    1     2048     32    0.0110     759.9   169.6%
    2048   1024 bf16  smem  native    32    4     2048    128    0.0107     783.8   174.9%
    2048   1024 bf16  smem  native    32   16     2048    512    0.0205     408.8    91.3%
    2048   1024 bf16  smem  native    32    1     2048     32    0.0108     777.9   173.6%
    2048   1024 bf16  smem  native    32    4     2048    128    0.0104     808.4   180.4%
    2048   1024 bf16  smem  native    32   16     2048    512    0.0185     453.9   101.3%
    8192   1024 f16   smem  native    32    1     8192     32    0.0329    1019.9   227.6%
    8192   1024 f16   smem  native    32    4     8192    128    0.0337     995.7   222.2%
    8192   1024 f16   smem  native    32   16     8192    512    0.0616     544.6   121.6%
    8192   1024 f16   smem  native    32    1     8192     32    0.0334    1003.9   224.1%
    8192   1024 f16   smem  native    32    4     8192    128    0.0336     997.6   222.7%
    8192   1024 f16   smem  native    32   16     8192    512    0.0617     544.1   121.5%
    8192   1024 f16   smem  native    32    1     8192     32    0.0330    1016.1   226.8%
    8192   1024 f16   smem  native    32    4     8192    128    0.0331    1015.1   226.6%
    8192   1024 f16   smem  native    32   16     8192    512    0.0616     544.8   121.6%
    8192   1024 bf16  smem  native    32    1     8192     32    0.0330    1017.9   227.2%
    8192   1024 bf16  smem  native    32    4     8192    128    0.0334    1005.2   224.3%
    8192   1024 bf16  smem  native    32   16     8192    512    0.0615     545.2   121.7%
    8192   1024 bf16  smem  native    32    1     8192     32    0.0334    1004.2   224.1%
    8192   1024 bf16  smem  native    32    4     8192    128    0.0332    1010.4   225.5%
    8192   1024 bf16  smem  native    32   16     8192    512    0.0616     545.1   121.7%
    8192   1024 bf16  smem  native    32    1     8192     32    0.0331    1014.3   226.4%
    8192   1024 bf16  smem  native    32    4     8192    128    0.0333    1008.0   225.0%
    8192   1024 bf16  smem  native    32   16     8192    512    0.0616     544.7   121.6%
   32768   1024 f16   smem  native    32    1    32768     32    0.3537     379.5    84.7%
   32768   1024 f16   smem  native    32    4    32768    128    0.3493     384.3    85.8%
   32768   1024 f16   smem  native    32   16    32768    512    0.3701     362.6    80.9%
