    rows   dim dtype           impl         ms      GB/s
   16384  1024   f16         memcpy     0.1773     378.4
   16384  1024   f16         cublas     0.7564      88.7
   16384  1024   f16        ref_fht     0.1729     388.1
   16384  1024   f16 rotate+quant_fp8     1.4108      47.6
   16384  1024   f16 rotate+quant_int4     1.6674      40.2
   16384  1024  bf16         memcpy     0.1722     389.6
   16384  1024  bf16         cublas     0.7991      84.0
   16384  1024  bf16        ref_fht     0.1733     387.3
   16384  1024  bf16 rotate+quant_fp8     1.4572      46.1
   16384  1024  bf16 rotate+quant_int4     1.7299      38.8
   65536  1024   f16         memcpy     0.7055     380.5
   65536  1024   f16         cublas     2.9512      91.0
   65536  1024   f16        ref_fht     0.7037     381.5
   65536  1024   f16 rotate+quant_fp8     5.9074      45.4
   65536  1024   f16 rotate+quant_int4     6.8216      39.4
   65536  1024  bf16         memcpy     0.7053     380.6
   65536  1024  bf16         cublas     3.0250      88.7
   65536  1024  bf16        ref_fht     0.7056     380.5
   65536  1024  bf16 rotate+quant_fp8     5.9913      44.8
   65536  1024  bf16 rotate+quant_int4     6.9163      38.8
  262144  1024   f16         memcpy     2.8279     379.7
  262144  1024   f16         cublas    11.7803      91.1
  262144  1024   f16        ref_fht     2.8272     379.8
  262144  1024   f16 rotate+quant_fp8    23.7561      45.2
  262144  1024   f16 rotate+quant_int4    27.3757      39.2
  262144  1024  bf16         memcpy     2.8298     379.4
  262144  1024  bf16         cublas    12.0877      88.8
  262144  1024  bf16        ref_fht     2.8246     380.1
  262144  1024  bf16 rotate+quant_fp8    24.0715      44.6
  262144  1024  bf16 rotate+quant_int4    27.7321      38.7
wrote data\baseline.csv
